Specimen,Location,Country rocks,Analysis type,Rock Type,Notes,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,Cr2O3,Ba,Ni,Sc,LOI,Sum,Be,Co,Cs,Ga,Hf,Nb,Rb,Sn,Sr,Ta,Th,U,V,W,Zr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,TOT/C,TOT/S,Mo,Cu,Pb,Zn,Ni,As,Cd,Sb,Bi,Ag,Au,Hg,Tl,Se
17-62A-3,Petermann,gabbroids,ICP,lamprophyre,dyke-2,45.73,16.59,10.38,11.89,8.50,1.72,1.47,0.91,0.18,0.17,0.068,355,379,28,2.1,99.82,<1,56.1,5.9,17.3,1.7,2.6,34.1,3,638.2,0.2,0.8,0.3,194,0.5,70.4,15.0,7.4,15.2,2.18,9.9,2.56,0.85,2.73,0.45,2.91,0.58,1.76,0.26,1.58,0.23,0.10,<0.02,0.5,16.8,6.7,57,247.5,0.9,<0.1,<0.1,<0.1,<0.1,<0.5,0.02,0.3,<0.5
17-63А-5,Petermann,gabbroids,XRF,diabase,,"48,1592","18,0139","9,5568","6,1225","9,0366","3,0848","0,6822","1,0816","0,14","0,1888",,176,30,,"1,98",,,,,18,,0,28,,505,,3,0,,,55,18,9,18,,12,,,,,,,,,,,,,,91,21,177,,,,,,,,,,
17-63A-5,Petermann,gabbroids,ICP,diabase,central part,48.90,18.09,10.17,5.76,9.39,3.03,0.75,1.07,0.14,0.20,0.006,163,26,34,2.2,99.73,<1,43.5,1.2,19.8,2.0,1.4,19.9,2,536.8,<0.1,1.5,0.4,309,0.5,70.9,17.2,8.6,18.9,2.91,13.7,3.58,1.16,3.71,0.55,3.30,0.69,1.99,0.26,1.82,0.27,0.12,0.05,0.5,100.9,14.8,147,18.1,5.9,0.4,<0.1,<0.1,0.1,0.5,0.13,<0.1,<0.5
17-80А-2,Petermann,,XRF,lamprophyre,,"49,27","16,418","9,7714","6,6707","11,6093","2,6292","0,1748","0,9163","0,1485","0,1548",,98,50,,"0,93",,,,,20,,0,18,,1003,,4,5,,,37,14,18,29,,12,,,,,,,,,,,,,,23,14,94,,,,,,,,,,
17-84A-2,Galindez,APVG,ICP,basalt,crosscut sill,46.42,18.83,9.68,8.00,10.15,2.04,0.69,0.98,0.18,0.16,0.023,206,109,26,2.5,99.73,1,40.5,5.5,17.2,1.5,1.9,22.1,3,497.8,<0.1,0.6,0.2,218,<0.5,56.1,14.4,7.5,16.4,2.44,11.1,2.68,1.00,2.79,0.44,2.71,0.53,1.59,0.20,1.38,0.23,0.07,<0.02,0.1,88.9,2.0,53,94.2,4.1,<0.1,<0.1,<0.1,0.1,0.7,0.04,0.3,<0.5
17-93A-3,Galindez,APVG,ICP,basalt,crosscut sill,47.46,17.52,9.15,8.65,9.24,2.54,0.38,0.95,0.22,0.18,0.060,230,163,26,3.4,99.82,<1,39.4,1.8,18.4,1.6,2.4,10.7,3,637.5,0.2,0.6,0.2,204,<0.5,62.1,14.3,8.7,17.9,2.61,11.6,2.67,01.03,2.94,0.45,2.68,0.55,1.56,0.23,1.39,0.21,0.07,<0.02,0.2,55.3,1.5,52,169.1,6.6,<0.1,<0.1,<0.1,0.1,<0.5,0.05,<0.1,<0.5
17-9А-2,Barchan S,Paleogene granites,XRF,basalt,,"51,1936","15,4277","8,7268","7,2918","8,3464","2,1147","1,7051","0,7397","0,1211","0,1862",,153,69,,"1,99",,,,,15,,0,92,,323,,2,2,,,51,17,8,12,,9,,,,,,,,,,,,,,54,0,125,,,,,,,,,,
17-9A-2,Barchans,granites,ICP,basalt,,51.50,16.20,8.54,7.33,8.95,2.09,1.87,0.69,0.12,0.21,0.054,155,90,28,2.2,99.75,<1,33.0,9.2,14.6,1.7,1.3,97.1,4,342.2,<0.1,1.2,0.4,197,0.9,64.2,15.0,8.1,15.9,2.37,10.3,2.48,0.92,2.86,0.46,2.71,0.57,1.63,0.25,1.63,0.25,0.40,0.03,0.6,60.8,0.9,116,75.9,0.7,<0.1,0.1,<0.1,<0.1,<0.5,0.08,1.3,<0.5
19-195A-4,Vedel,tonalites,ICP,porphyritic microdiorite,,50.60,18.59,8.43,5.40,8.64,2.74,1.57,0.78,0.13,0.14,0.006,200,26,23,2.7,99.77,<1,24.3,2.0,17.3,2.2,3.8,31.8,2,625.9,0.3,2.2,1.0,217,1.8,79.5,14.0,10.5,22.6,3.21,14.3,3.26,1.09,3.17,0.47,2.71,0.52,1.56,0.21,1.40,0.22,0.27,<0.02,0.7,35.5,2.1,47,15.4,4.1,<0.1,0.1,<0.1,<0.1,1.2,0.03,<0.1,<0.5
19-195A-6,Vedel,tonalites,ICP,porphyritic microdiorite,,48.27,17.15,9.64,6.49,9.29,2.82,1.62,1.13,0.46,0.23,0.026,298,62,22,2.5,99.72,<1,27.5,2.3,18.7,3.2,19.5,41.9,2,643.3,1.2,2.6,1.2,216,0.7,144.9,18.6,25.3,51.1,6.91,28.8,6.01,1.86,5.21,0.72,3.76,0.69,1.94,0.26,1.75,0.26,0.23,<0.02,1.3,93.8,1.4,71,43.0,9.4,<0.1,0.2,<0.1,<0.1,0.9,0.03,0.1,<0.5
6-1,Barchans,Paleogene granites,XRF,basalt,,"42,40526667","15,073","9,501833333","7,497066667","7,213366667","2,4483","2,7238","0,8412","0,1769","0,1986",,,,,"6,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25,Barchan S,Paleogene granites,XRF,basalt,,"50,89","15,95","8,38","6,84","9,71","1,82","2,1","0,94","0,18","0,35",,,,,"2,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
